date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:31	10350/10350	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2029%20Dec%202025%2005:03:31%20GMT	http://sale.fico-ytl.com/cdn-cgi/challenge-platform/h/g/scripts/jsd/d39f91d70ce1/main.js?	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/cdn-cgi/challenge-platform/h/g/scripts/jsd/d39f91d70ce1/maind41d.js	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:03:31	383790/383790	---M--	200	added ('OK')	image/jpeg	etag:%22068b2104cabd61:0%22	http://sale.fico-ytl.com/Content/Images/home2.jpg	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/home2.jpg	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:03:31	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:32%20GMT	http://sale.fico-ytl.com/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-brands-400.19.delayed	(from http://sale.fico-ytl.com/Content/all.css)
12:03:31	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:32%20GMT	http://sale.fico-ytl.com/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-brands-400d41d.eot	(from http://sale.fico-ytl.com/Content/all.css)
12:03:32	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:32%20GMT	http://sale.fico-ytl.com/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-brands-400.woff2	(from http://sale.fico-ytl.com/Content/all.css)
12:03:32	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:33%20GMT	http://sale.fico-ytl.com/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-brands-400.woff	(from http://sale.fico-ytl.com/Content/all.css)
12:03:33	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:33%20GMT	http://sale.fico-ytl.com/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-brands-400.ttf	(from http://sale.fico-ytl.com/Content/all.css)
12:03:33	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:34%20GMT	http://sale.fico-ytl.com/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-brands-400.svg	(from http://sale.fico-ytl.com/Content/all.css)
12:03:33	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:34%20GMT	http://sale.fico-ytl.com/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-regular-400.eot	(from http://sale.fico-ytl.com/Content/all.css)
12:03:34	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:34%20GMT	http://sale.fico-ytl.com/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-regular-400d41d.eot	(from http://sale.fico-ytl.com/Content/all.css)
12:03:34	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:35%20GMT	http://sale.fico-ytl.com/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-regular-400.woff2	(from http://sale.fico-ytl.com/Content/all.css)
12:03:35	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:35%20GMT	http://sale.fico-ytl.com/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-regular-400.woff	(from http://sale.fico-ytl.com/Content/all.css)
12:03:35	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:36%20GMT	http://sale.fico-ytl.com/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-regular-400.ttf	(from http://sale.fico-ytl.com/Content/all.css)
12:03:35	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:36%20GMT	http://sale.fico-ytl.com/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-regular-400.svg	(from http://sale.fico-ytl.com/Content/all.css)
12:03:36	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:36%20GMT	http://sale.fico-ytl.com/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-solid-900.eot	(from http://sale.fico-ytl.com/Content/all.css)
12:03:36	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:37%20GMT	http://sale.fico-ytl.com/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-solid-900d41d.eot	(from http://sale.fico-ytl.com/Content/all.css)
12:03:37	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:37%20GMT	http://sale.fico-ytl.com/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-solid-900.woff2	(from http://sale.fico-ytl.com/Content/all.css)
12:03:37	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:38%20GMT	http://sale.fico-ytl.com/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-solid-900.woff	(from http://sale.fico-ytl.com/Content/all.css)
12:03:38	1743/1743	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:38%20GMT	http://sale.fico-ytl.com/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/webfonts/fa-solid-900.ttf	(from http://sale.fico-ytl.com/Content/all.css)
